fiches_nr,libéllé(s),illustration(s),localisation,inscription,catégorie(s),état,notice
63072-INV-0001-01,Aucun libellé renseigné,N/A,Adresse principale : SPA (Spa)Hameau : Balmoral,N/A,N/A,N/A,"Golf club (entrée). Croix Brognard. Fichée dans le sol, croix en pierre calcaire portant l'inscription: IHS/LE 24 XBRE/1685 LE SIR PIERRE BROGNARD/DESPA ESCHEVIN FUT D'UN/PARFIDE ICY MEVTRI ET VOLE/QUI LE DIX SEPT DV MOIS/SUIVANT ENFIN FUT SVR/CE LIEU ROMPV VIF ET ROUE/REQ. IN PACE. D'après une chronique manuscrite de 1685 de Henri de Sonkeux, le meurtrier s'appelant mathy de schoffrij» fut attrapé à la foire de Malmédy le 28 décembre, amené prisonnier au château de Franchimont et enfin exécuté le 27 janvier 1686.
M. RAMAEKERS, Croix, chapelles et oratoires de la région spadoise dans Histoire et Archéologie spadoises. Musee de la Ville d'Eaux, n° 11, sept. 1977, pp. 116-117. M.-A.R. [1675]"
63072-INV-0001-02,Croix d'occis (croix brognard),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0001-02/63072-INV-0001-02-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0001-02/63072-INV-0001-02-PHOT-02-01.jpg___,"Adresse principale : Avenue de l'Hippodrome 1 (à côté), SPA (Spa)Hameau : Balmoral",Bien inscrit comme : Monument,Public,État à la date de la prospection : Bon,"Fichée dans le sol, la croix Brognard est une croix commémorative en calcaire portant l'inscription: ""IHS/LE 24 XBRE/1685 LE SIR PIERRE BROGNARD/DESPA ESCHEVIN FVT D'VN/PERFIDE ICY MEVTRI ET VOLE/QUI LE DIX SEPT DV MOIS/SVIVANT ENFIN FVT SVR/CE LIEV ROMPV VIF ET ROVE/REQ. IN PACE"". D'après des manuscrits de l'époque, un meurtrier s'appelant ""mathy de xchoffrij"" fut attrapé à la foire de Malmédy le 28 décembre 1685, amené prisonnier au château de Franchimont et exécuté le 27 janvier 1686 (la croix porte la date du 17 janvier). 

BD (Actualisation IPM)

Bibliographie

RAMAEKERS M., 1977. Croix, chapelles et oratoires de la région spadoise, Histoire et Archéologie spadoises, Spa, Villa royale Marie-Henriette, 11,  p. 115-117.

Collectif, 1992. Croix, Chapelles, Oratoires de la région de Spa, Spa (Connaître Spa, 4), p. 43-45."
63072-INV-0002-01,Aucun libellé renseigné,N/A,"Adresse principale : Route de Liege, SPA (Spa)Hameau : Balmoral",N/A,N/A,N/A,"A l'intersection de la route et du chemin conduisant au golf club, croix en calcaire commémorant la mort du notaire Ch. Ed. J. Marthoz de Spa (1781-1826), époux d'Ehsabeth Lambertine Fagalde. Nom donné au début du XIXe s. peut-être à la ferme-château sise au Thier de Polleur. Inscription: IHS/ICI EST MORT SUBITEMENT LE 13 9BRE 1826 C.E.J./MARTHOZ NOTAIRE A LA RESIDENCE DE SPA/PASSANT PRIEZ DIEU POUR SON AME/R.I.P./.
M.-A.R. [18761"
63072-INV-0002-02,Croix d'occis (croix marthoz),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0002-02/63072-INV-0002-02-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0002-02/63072-INV-0002-02-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0002-02/63072-INV-0002-02-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0002-02/63072-INV-0002-02-PHOT-04-01.jpg___,"Adresse principale : Route de Balmoral, SPA (Spa)Hameau : Balmoral",Bien inscrit comme : Monument,Public,État à la date de la prospection : Bon,"En bordure de la route de Balmoral, la croix Marthoz en calcaire commémore la mort en 1826, du notaire Ch. Ed. J. Marthoz de Spa (1781-1826), époux d'Elisabeth Lambertine Fagalde. La croix porte l'inscription: ""IHS/ICI EST MORT SUBITEMENT LE 13 9BRE 1826 C.E.J./MARTHOZ NOTAIRE A LA RESIDENCE DE SPA/PASSANT PRIEZ DIEU POUR SON AME/R.I.P."".

BD (Actualisation IPM)

Bibliographie

RAMAEKERS M., 1977. Croix, chapelles et oratoires de la région spadoise, Histoire et Archéologie spadoises, Spa, Villa royale Marie-Henriette, 11,  p. 124.

Collectif, 1992. Croix, Chapelles, Oratoires de la région de Spa, Spa (Connaître Spa, 4), p. 46."
63072-INV-0003-01,Aucun libellé renseigné,N/A,Adresse principale : SPA (Spa)Hameau : Creppe,N/A,N/A,N/A,"Église paroissiale Saint-Joseph
Partiellement cimenté et essenté d'éternit, édifice mononef, terminé par un choeur à trois pans, bâti en 1858 à la place d'une église du début du XVIIIe s., incendiée en 1857.
Autel, chaire de vérité, confessionnal: Sculptures: St-Dominique, St-Thomas d'Aquin, bois partiellement peint, 1re moit. du XVIIIe s.; St-Mathieu, St-Jean, par A. Detombay, terre cuite (?), 1835.
Peintures: Fuite en Egypte, par CH.-D. de Beaurieux (?), toile, début XVIIIe s.; buste d'un saint, toile, mil. du XVIIIe s.; Golgotha, toile, fin XVIIIe s.
R.P.M.S.B., Spa, p. 26-27.	M.M. [18771
"
63072-INV-0003-02,Église paroissiale (église saint-joseph),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0003-02/63072-INV-0003-02-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0003-02/63072-INV-0003-02-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0003-02/63072-INV-0003-02-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0003-02/63072-INV-0003-02-PHOT-04-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0003-02/63072-INV-0003-02-PHOT-05-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0003-02/63072-INV-0003-02-PHOT-06-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0003-02/63072-INV-0003-02-PHOT-07-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0003-02/63072-INV-0003-02-PHOT-08-01.jpg___,"Adresse principale : Rue de l'Église 102 (à côté), SPA (Spa)Hameau : Creppe",Bien inscrit comme : Monument,Philosophique,État à la date de la prospection : Bon,"Implantée perpendiculairement à la rue, l'église paroissiale Saint-Joseph est un édifice de style néo-classique ayant été reconstruit en 1858, après un incendie survenu en 1857, comme l'atteste une dalle commémorative inscrite dans la façade à rue. 
Érigé en calcaire et briques partiellement cimentées et essentées d'éternit, l'édifice mononef de trois travées se prolonge par un choeur d'une travée terminé par une abside à trois pans. Limité par des harpes d'angle en calcaire, le vaisseau est éclairé par de larges baies en plein cintre à clé passante et appui saillant, et coiffé d'un long toit à deux versants d'ardoises. Accès dans l'axe par un portail percé dans l'avant-corps de plan rectangulaire, couronné par une tour de plan carré coiffée d'une flèche octogonale. 
Inscrites dans la maçonnerie de la façade, de part et d'autre du portail, deux petites dalles commémoratives portent les inscriptions : ""CONSTRUITE EN 1710/AGRANDIE D'UNE TOUR/PAR MR H ANSAY/EN 1836"" et ""INCENDIÉE LE 4 AOÛT/1857./RECONSTRUITE EN/1858.""

BD

Bibliographie

BOUCHOMS A., s.d. Les lieux de culte à Spa, Spa, Centre culturel de Spa, notice 18."
63072-INV-0004-01,Aucun libellé renseigné,N/A,Adresse principale : SPA (Spa)Hameau : Creppe,N/A,N/A,N/A,"Manoir de Lébioles. Au S-O. du village, château de style néo-renaissance mosane, construit en 1907-1908 sur les plans de l'architecte liégeois Soubre. M.M. [1879]"
63072-INV-0004-02,Château (manoir de lébioles),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-04-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-05-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-06-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-07-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-08-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-09-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-10-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-11-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-12-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-13-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-14-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-15-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-16-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-17-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-18-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-19-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-20-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-21-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-22-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-23-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-24-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-25-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-26-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-27-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-28-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-29-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-30-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-31-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-32-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-33-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0004-02/63072-INV-0004-02-PHOT-34-01.jpg___,"Adresse principale : Domaine de Lébioles 1/5, SPA (Spa)Hameau : Creppe",Bien inscrit comme : Monument,"Domestique, Economique",État à la date de la prospection : Bon,"Isolé, au S-O. du village de Creppe, le manoir de Lébioles est une imposante construction de style néo-traditionnel d'inspiration mosane édifiée de 1907 à 1908 pour Monsieur Georges Neyt par l'entrepreneur Jehin, d'après des plans de l'architecte liégeois Charles Soubre assisté de l'architecte Alfred Lobet pour la gestion du chantier. À la suite du décès du propriétaire, le château est vendu en 1912 par sa fille unique Mary Neyt à l'homme d'affaire liégeois Edmond Dresse. En 1926, la famille Dresse se voit décerner le titre de ""Dresse de Lébioles"". Depuis 1980, le domaine est converti en établissement hôtelier. 
Adoptant un plan en U, le château se compose de trois ailes entourant une cour d'honneur centrale. Agrémentée d'un bassin aux extrémités en hémicycles, la cour est accessible par un portail d'entrée monumental en avancée flanqué de murets courbes surmontés de grilles en fer forgé. Érigé en moellons de grès et calcaire, l'ensemble est coiffé de hautes toitures d'ardoises à deux versants à croupes et égouts retroussés, polygonales ou de formes complexes, piquées de nombreux épis de faîtages en fer forgé, figurant pour certains des aigles bicéphales. Le portail d'entrée est percé d'un passage en anse de panier couronné par un clocheton. Celui-ci englobe une dalle en marbre blanc portant les armoiries de la famille Dresse surmontées de la devise ""PLUS VALET QUAM LUCET"" (Être plutôt que paraître) sur sa face extérieure et englobe une horloge vers la cour. 
Au fond de la cour, dans l'axe du portail, le corps de logis se signale par sa travée d'entrée ponctuée par une logette en briques et calcaire portant une dalle datée de 1915 et soutenue par deux colonnes. Les façades sont percées sur deux niveaux par de nombreuses baies à croisées. 
Dans les angles de la cour, deux portails donnant accès au jardin relient le corps de logis à deux ailes de dépendances. Se faisant face, celles-ci se composent d'un seul niveau large de sept travées bordées par un portique ouvert d'arcades en anse de panier, de part et d'autre d'une tour centrale de deux niveaux coiffée d'un toit à bulbe d'ardoises. 
Vers le jardin, la façade arrière de même style se signale par un portique percé de cinq arcades en anse de panier retombant sur des colonnes de calcaire. Flanquant l'angle droit de la façade, une tour circulaire englobe dans sa maçonnerie un cadran solaire daté de 1908 et portant l'inscription : "" AB VLTIMA CAVE"" (Prends garde à la dernière). En-dessous du cadran solaire, une dalle en marbre blanc porte les mêmes armoiries et la même devise que celle du portail d'entrée. 
À l'arrière, un remarquable jardin a été aménagé vers 1912 d'après des plans réalisés par l'architecte paysagiste Joseph Hensgens d'Aywaille à la demande de monsieur Edmond Dresse et de madame Anne Delloye. 
Plus au sud de la propriété, dans les sous-bois situés sur le versant opposé de la vallée du Tolifaz et sur la rive gauche du ruisseau de l'Eau Rouge faisant aujourd'hui partie du territoire de la commune de Theux, se trouve un petit pavillon hindou inspiré de l'opéra Lakmé du compositeur Léo Delibes. Édifié en 1937 par Edmond Dresse de Lébioles pour son épouse avec la complicité de sa petite fille Liliane, enfant unique de son fils Armand, ce petit pavillon est aujourd'hui à l'abandon. Vandalisée, la construction en moellons de grès adopte un plan carré et est accessible par un portique en avancée menant à une pièce unique pourvue d'une cheminée dont le décor a disparu. À l'extérieur subsiste un panneau décoratif orné d'une représentation de déesse hindoue malheureusement recouverte de tags. L'édifice est coiffé d'une toiture à l'impériale d'ardoises en écailles de poisson et présente vers l'arrière une souche de cheminée inspirée des toits en pagode. Un peu à l'écart, un petit portique en rondins de bois sculptés de têtes stylisées, est encore conservé.
Au sommet du même versant, plus au sud, un petit pavillon de chasse dénommé ""La houbinète"" (désignant une petite hutte en wallon) a vraisemblablement été édifié au même moment que le manoir. De style néo-traditionnel, la construction de plan octogonal, en moellons de grès et calcaire, est coiffée d'un toit en pavillon d'ardoises. Quatre baies rectangulaires à encadrement de bois et châssis à petits bois d'origine éclairent l'unique pièce pourvue d'une cheminée.
Dans la vallée, un pavillon d'agrément probablement édifié dans l'entre-deux guerres par la famille Dresse de Lébioles, est installé en bordure d'un étang agrémenté de nénuphars. De style rustique, la construction en moellons de grès, calcaire et bois est constituée d'une partie fermée et d'une terrasse couverte limitée par un garde-corps en bois. Bordant un côté de la construction, une petite galerie ouverte vers l'étang est prolongée par deux pontons de bois donnant accès à l'eau. Un toit à deux versants d'ardoises couvre l'ensemble.
À l'entrée de la propiété, à droite de l'allée menant au manoir, l'ancienne maison du jardinier est une construction de style néo-traditionnel inspirée du style des cottage anglais. Édifiée dans le premier tiers du 20e siècle, le bâtiment présente un seul niveau en moellons de grès et calcaire coiffé d'un toit à deux versants à croupes, à fort débord reposant sur d'importantes consoles en bois.


BD

Bibliographie

DRESSE P., 1981. Le seigneur de Lébioles. Essai sur mon père. Bruxelles, La Renaissance du Livre, p. 84.

PIRONET L., 1981. Architecture thermale. Les villas et résidences de Spa. Un petit Versailles Ardennais : le Manoir de Lébioles, Histoire et Archéologie spadoises, Spa, Villa royale Marie-Henriette, 28,  p. 155-163, fig. 90-105.

PIRON A., 1999. L'architecte -paysagiste Joseph Hensgens (1878-1953). Essai d'inventaire et analyse de son oeuvre. Mémoire présenté en vue de l'obtention du diplôme d'architecte, Liège, Institut Supérieur d'Architecture intercommunal. Site de Liège, Institut Lambert Lombard, p. 52-56.

DE HARLEZ DE DEULIN N. et DELSEMME S., 2001. Inventaire des parcs et jardins historiques de Wallonie, 4 : Province de Liège-arrondissement de Liège-Verviers, Liège, Ministère de la Région Wallonne, p. 212-215.

BOUCHOMS A. (coord.), 2003, De Villas en Châteaux par Avenues et Boulevards, Spa (Connaître Spa,7), p. 70-72.

HUBERT J.-C., s.d. Château du Haut-Neubois. 100 ans d'histoires, Spa, CERAN, p. 29."
63072-INV-0005-01,Aucun libellé renseigné,N/A,Adresse principale : SPA (Spa)Hameau : Nivezé,N/A,N/A,N/A,"Église paroissiale Sainte-Thérèse-de-l'Enfant Jésus
Edifice mononef de style néo-gothique, construit en 1934-1935 sur les plans de l'architecte spadois Paës.
Mobilier contemporain. R.P.M.S.B. Spa, p. 18-19.	M.M. [1880]"
63072-INV-0006-01,Aucun libellé renseigné,N/A,Adresse principale : SPA (Spa),N/A,N/A,N/A,"Église paroissiale Notre-Dame et Saint-Remacle.
Construit à l'emplacement d'une église de la 1re moit. du remplaçant elle-même une autre du XVIe s., sanctuaire bâti de 1883 à 1886 sur les plans de l'architecte E. Carpentier, de Beloeil. Vaste édifice en calcaire, de style néo-roman rhénan, comptant trois nefs précédées de deux tours carrées coiffées de flèches à huit pans. Lanterne de plan octogonal à la croisée du transept. Choeur à l'E. et bras du transept terminés par des absides semi-circulaires.
Autels, chaire de vérité, confessionnal, bancs: XIXe s.
Lambris, portes provenant de l'ancienne église: 2e moit. du XVIIe s. Fonts baptismaux : XVIIe s. (?). Sculptures: relief, par Jean Del Cour: Adoration de l'Eucharistie par des Anges, bois peint et partiellement doré, 1669, statues (6) par Guillaume Evrard, bois peint, 1750-1751; st Remacle, provenant de la chapelle Leloup, bois polychrome, XVe s.
Peintures: Christ en croix avec st Roch et st Sébastien, par Jean Ramey (?), toile, 1598; Adoration des bergers, toile, fin XVIIe s. (?); Ascension, par J.M. Nisen, toile, 1857; Christ en croix, Vierge à l'Enfant, toiles, XIXe s.
R.P.M.S.B., Spa, p. 22-24. M.M. [1881]"
